time,cwnd,bytes_in_flight
4.78,11078,10867
4.79,11078,10867
4.8,11078,10867
4.81,11078,10867
4.82,11207,0
4.83,11207,10861
4.84,11207,10861
4.85,11207,10861
4.86,11207,10861
4.87,11335,0
4.88,11335,10883
4.89,11335,10883
4.9,11335,10883
4.91,11335,10883
4.92,11462,10890
4.93,11462,10890
4.94,11462,10890
4.95,11462,10890
4.96,11462,10890
4.97,11587,10890
4.98,11587,10890
4.99,11587,10890
5,11587,10890
5.01,11587,10890
5.02,11711,10889
5.03,11711,10889
5.04,11711,10889
5.05,11711,10889
5.06,11711,10889
5.07,11833,10872
5.08,11833,10872
5.09,11833,10872
5.1,11833,10872
5.11,11954,0
5.12,11954,10873
5.13,11954,10873
5.14,11954,10873
5.15,11954,10873
5.16,12074,0
5.17,12074,10890
5.18,12074,10890
5.19,12074,10890
5.2,12074,10890
5.21,12193,12100
5.22,12193,12100
5.23,12193,12100
5.24,12193,12100
5.25,12193,12100
5.26,12311,12100
5.27,12311,12100
5.28,12311,12100
5.29,12311,12100
5.3,12311,12100
5.31,12427,12080
5.32,12427,12080
5.33,12427,12080
5.34,12427,12080
5.35,12542,0
5.36,12542,12080
5.37,12542,12080
5.38,12542,12080
5.39,12542,12080
5.4,12656,12100
5.41,12656,12100
5.42,12656,12100
5.43,12656,12100
5.44,12656,12100
5.45,12769,12100
5.46,12769,12100
5.47,12769,12100
5.48,12769,12100
5.49,12769,12100
5.5,12881,12100
5.51,12881,12100
5.52,12881,12100
5.53,12881,12100
5.54,12881,12100
5.55,12992,12100
5.56,12992,12100
5.57,12992,12100
5.58,12992,12100
5.59,12992,12100
5.6,13102,12071
5.61,13102,12071
5.62,13102,12071
5.63,13102,12071
5.64,13211,12080
5.65,13211,12080
5.66,13211,12080
5.67,13211,12080
5.68,13211,12080
5.69,13320,13310
5.7,13320,13310
5.71,13320,13310
5.72,13320,13310
5.73,13320,13310
5.74,13428,13307
5.75,13428,13307
5.76,13428,13307
5.77,13428,13307
5.78,13535,0
5.79,13535,13307
5.8,13535,13307
5.81,13535,13307
5.82,13535,13307
5.83,13641,13310
5.84,13641,13310
5.85,13641,13310
5.86,13641,13310
5.87,13641,13310
5.88,13746,13295
5.89,13746,13295
5.9,13746,13295
5.91,13746,13295
5.92,13746,13295
5.93,13850,13301
5.94,13850,13301
5.95,13850,13301
5.96,13850,13301
5.97,13953,0
5.98,13953,13299
5.99,13953,13299
6,13953,13299
6.01,13953,13299
6.02,14056,13297
6.03,14056,13297
6.04,14056,13297
6.05,14056,13297
6.06,14056,13297
6.07,14158,13273
6.08,14158,13273
6.09,14158,13273
6.1,14158,13273
6.11,14259,0
6.12,14259,13302
6.13,14259,13302
6.14,14259,13302
6.15,14259,13302
6.16,14359,13310
6.17,14359,13310
6.18,14359,13310
6.19,14359,13310
6.2,14359,13310
6.21,14459,13310
6.22,14459,13310
6.23,14459,13310
6.24,14459,13310
6.25,14459,13310
6.26,14558,14520
6.27,14558,14520
6.28,14558,14520
6.29,14558,14520
6.3,14558,14520
6.31,14656,14520
6.32,14656,14520
6.33,14656,14520
6.34,14656,14520
6.35,14656,14520
6.36,14754,14520
6.37,14754,14520
6.38,14754,14520
6.39,14754,14520
6.4,14754,14520
6.41,14851,14520
6.42,14851,14520
6.43,14851,14520
6.44,14851,14520
6.45,14947,0
6.46,14947,14520
6.47,14947,14520
6.48,14947,14520
6.49,14947,14520
6.5,15043,0
6.51,15043,14520
6.52,15043,14520
6.53,15043,14520
6.54,15043,14520
6.55,15138,0
6.56,15138,14520
6.57,15138,14520
6.58,15138,14520
6.59,15138,14520
6.6,15138,14520
6.61,15233,14496
6.62,15233,14496
6.63,15233,14496
6.64,15233,14496
6.65,15327,0
6.66,15327,14520
6.67,15327,14520
6.68,15327,14520
6.69,15327,14520
6.7,15327,14520
6.71,15420,0
6.72,15420,14496
6.73,15420,14496
6.74,15420,14496
6.75,15420,14496
6.76,15420,14496
6.77,15513,0
6.78,15513,10872
6.79,15513,10872
6.8,15513,10872
6.81,15513,10872
6.82,15605,0
6.83,15605,0
6.84,15605,0
6.85,15605,0
6.86,15605,0
6.87,15605,0
6.88,15605,0
6.89,15605,0
6.9,15605,0
6.91,15605,0
6.92,15605,0
6.93,15605,0
6.94,15605,0
6.95,15605,0
6.96,15605,0
6.97,15605,0
6.98,15605,0
6.99,15605,0
7,15605,0
7.01,15605,0
7.02,15605,0
7.03,15605,0
7.04,15605,0
7.05,15605,0
7.06,15605,0
7.07,15605,0
7.08,15605,0
7.09,15605,0
7.1,15605,0
7.11,15605,0
7.12,15605,0
7.13,15605,0
7.14,15605,0
7.15,15605,0
7.16,15605,0
7.17,15605,0
7.18,15605,0
7.19,15605,0
7.2,15605,0
7.21,15605,0
7.22,15605,0
7.23,15605,0
7.24,15605,0
7.25,15605,0
7.26,15605,0
7.27,15605,0
7.28,15605,0
7.29,15605,0
7.3,15605,0
7.31,15605,0
7.32,15605,0
7.33,15605,0
7.34,15605,0
7.35,15605,0
7.36,15605,0
7.37,15605,0
7.38,15605,0
7.39,15605,0
7.4,15605,0
7.41,15605,0
7.42,15605,0
7.43,15605,0
7.44,15605,0
7.45,15605,0
7.46,15605,0
7.47,15605,0
7.48,15605,0
7.49,15605,0
7.5,15605,0
7.51,15605,0
7.52,15605,0
7.53,15605,0
7.54,15605,0
7.55,15605,0
7.56,15605,0
7.57,15605,0
7.58,15605,0
7.59,15605,0
7.6,15605,0
7.61,15605,0
7.62,15605,0
7.63,15605,0
7.64,15605,0
7.65,15605,0
7.66,15605,0
7.67,15605,0
7.68,15605,0
7.69,15605,0
7.7,15605,0
7.71,15605,0
7.72,15605,0
7.73,15605,0
7.74,15605,0
7.75,15605,0
7.76,15605,0
7.77,15605,0
7.78,15605,0
7.79,15605,0
7.8,15605,0
7.81,15605,0
7.82,15605,0
7.83,15605,0
7.84,15605,0
7.85,15605,0
7.86,15605,0
7.87,15605,0
7.88,15605,0
7.89,15605,0
7.9,15605,0
7.91,15605,0
7.92,15605,0
7.93,15605,0
7.94,15605,0
7.95,15605,0
7.96,15605,0
7.97,15605,0
7.98,15605,0
7.99,15605,0
8,15605,0
8.01,15605,0
8.02,15605,0
8.03,15605,0
8.04,15605,0
8.05,15605,0
8.06,15605,0
8.07,15605,0
8.08,15605,0
8.09,15605,0
8.1,15605,0
8.11,15605,0
8.12,15605,0
8.13,15605,0
8.14,15605,0
8.15,15605,0
8.16,15605,0
8.17,15605,0
8.18,15605,0
8.19,15605,0
8.2,15605,0
8.21,15605,0
8.22,15605,0
8.23,15605,0
8.24,15605,0
8.25,15605,0
8.26,15605,0
8.27,15605,0
8.28,15605,0
8.29,15605,0
8.3,15605,0
8.31,15605,0
8.32,15605,0
8.33,15605,0
8.34,15605,0
8.35,15605,0
8.36,15605,0
8.37,15605,0
8.38,15605,0
8.39,15605,0
8.4,15605,0
8.41,15605,0
8.42,15605,0
8.43,15605,0
8.44,15605,0
8.45,15605,0
8.46,15605,0
8.47,15605,0
8.48,15605,0
8.49,15605,0
8.5,15605,0
8.51,15605,0
8.52,15605,0
8.53,15605,0
8.54,15605,0
8.55,15605,0
8.56,15605,0
8.57,15605,0
8.58,15605,0
8.59,15605,0
8.6,15605,0
8.61,15605,0
8.62,15605,0
8.63,15605,0
8.64,15605,0
8.65,15605,0
8.66,15605,0
8.67,15605,0
8.68,15605,0
8.69,15605,0
8.7,15605,0
8.71,15605,0
8.72,15605,0
8.73,15605,0
8.74,15605,0
8.75,15605,0
8.76,15605,0
8.77,15605,0
8.78,15605,0
8.79,15605,0
8.8,15605,0
8.81,15605,0
8.82,15605,0
8.83,15605,0
8.84,15605,0
8.85,15605,0
8.86,15605,0
8.87,15605,0
8.88,15605,0
8.89,15605,0
8.9,15605,0
8.91,15605,0
8.92,15605,0
8.93,15605,0
8.94,15605,0
8.95,15605,0
8.96,15605,0
8.97,15605,0
8.98,15605,0
8.99,15605,0
9,15605,0
9.01,15605,0
9.02,15605,0
9.03,15605,0
9.04,15605,0
9.05,15605,0
9.06,15605,0
9.07,15605,0
9.08,15605,0
9.09,15605,0
9.1,15605,0
9.11,15605,0
9.12,15605,0
9.13,15605,0
9.14,15605,0
9.15,15605,0
9.16,15605,0
9.17,15605,0
9.18,15605,0
9.19,15605,0
9.2,15605,0
9.21,15605,0
9.22,15605,0
9.23,15605,0
9.24,15605,0
9.25,15605,0
9.26,15605,0
9.27,15605,0
9.28,15605,0
9.29,15605,0
9.3,15605,0
9.31,15605,0
9.32,15605,0
9.33,15605,0
9.34,15605,0
9.35,15605,0
9.36,15605,0
9.37,15605,0
9.38,15605,0
9.39,15605,0
9.4,15605,0
9.41,15605,0
9.42,15605,0
9.43,15605,0
9.44,15605,0
9.45,15605,0
9.46,15605,0
9.47,15605,0
9.48,15605,0
9.49,15605,0
9.5,15605,0
9.51,15605,0
9.52,15605,0
9.53,15605,0
9.54,15605,0
9.55,15605,0
9.56,15605,0
9.57,15605,0
9.58,15605,0
9.59,15605,0
9.6,15605,0
9.61,15605,0
9.62,15605,0
9.63,15605,0
9.64,15605,0
9.65,15605,0
9.66,15605,0
9.67,15605,0
9.68,15605,0
9.69,15605,0
9.7,15605,0
9.71,15605,0
9.72,15605,0
9.73,15605,0
9.74,15605,0
9.75,15605,0
9.76,15605,0
9.77,15605,0
9.78,15605,0
9.79,15605,0
9.8,15605,0
9.81,15605,0
9.82,15605,0
9.83,15605,0
9.84,15605,0
9.85,15605,0
9.86,15605,0
9.87,15605,0
9.88,15605,0
9.89,15605,0
9.9,15605,0
9.91,15605,0
9.92,15605,0
9.93,15605,0
9.94,15605,0
9.95,15605,0
9.96,15605,0
9.97,15605,0
9.98,15605,0
9.99,15605,0
10,15605,0
10.01,15605,0
10.02,15605,0
10.03,15605,0
10.04,15605,0
10.05,15605,0
10.06,15605,0
10.07,15605,0
10.08,15605,0
10.09,15605,0
10.1,15605,0
10.11,15605,0
10.12,15605,0
10.13,15605,0
10.14,15605,0
10.15,15605,0
10.16,15605,0
10.17,15605,0
10.18,15605,0
10.19,15605,0
10.2,15605,0
10.21,15605,0
10.22,15605,0
10.23,15605,0
10.24,15605,0
10.25,15605,0
10.26,15605,0
10.27,15605,0
10.28,15605,0
10.29,15605,0
10.3,15605,0
10.31,15605,0
10.32,15605,0
10.33,15605,0
10.34,15605,0
10.35,15605,0
10.36,15605,0
10.37,15605,0
10.38,15605,0
10.39,15605,0
10.4,15605,0
10.41,15605,0
10.42,15605,0
10.43,15605,0
10.44,15605,0
10.45,15605,0
10.46,15605,0
10.47,15605,0
10.48,15605,0
10.49,15605,0
10.5,15605,0
10.51,15605,0
10.52,15605,0
10.53,15605,0
10.54,15605,0
10.55,15605,0
10.56,15605,0
10.57,15605,0
10.58,15605,0
10.59,15605,0
10.6,15605,0
10.61,15605,0
10.62,15605,0
10.63,15605,0
10.64,15605,0
10.65,15605,0
10.66,15605,0
10.67,15605,0
10.68,15605,0
10.69,15605,0
10.7,15605,0
10.71,15605,0
10.72,15605,0
10.73,15605,0
10.74,15605,0
10.75,15605,0
10.76,15605,0
10.77,15605,0
10.78,15605,0
10.79,15605,0
10.8,15605,0
10.81,15605,0
10.82,15605,0
10.83,15605,0
10.84,15605,0
10.85,15605,0
10.86,15605,0
10.87,15605,0
10.88,15605,0
10.89,15605,0
10.9,15605,0
10.91,15605,0
10.92,15605,0
10.93,15605,0
10.94,15605,0
10.95,15605,0
10.96,15605,0
10.97,15605,0
10.98,15605,0
10.99,15605,0
11,15605,0
11.01,15605,0
11.02,15605,0
11.03,15605,0
11.04,15605,0
11.05,15605,0
11.06,15605,0
11.07,15605,0
11.08,15605,0
11.09,15605,0
11.1,15605,0
11.11,15605,0
11.12,15605,0
11.13,15605,0
11.14,15605,0
11.15,15605,0
11.16,15605,0
11.17,15605,0
11.18,15605,0
11.19,15605,0
11.2,15605,0
11.21,15605,0
11.22,15605,0
11.23,15605,0
11.24,15605,0
11.25,15605,0
11.26,15605,0
11.27,15605,0
11.28,15605,0
11.29,15605,0
11.3,15605,0
11.31,15605,0
11.32,15605,0
11.33,15605,0
11.34,15605,0
11.35,15605,0
11.36,15605,0
11.37,15605,0
11.38,15605,0
11.39,15605,0
11.4,15605,0
11.41,15605,0
11.42,15605,0
11.43,15605,0
11.44,15605,0
11.45,15605,0
11.46,15605,0
11.47,15605,0
11.48,15605,0
11.49,15605,0
11.5,15605,0
11.51,15605,0
11.52,15605,0
11.53,15605,0
11.54,15605,0
11.55,15605,0
11.56,15605,0
11.57,15605,0
11.58,15605,0
11.59,15605,0
11.6,15605,0
11.61,15605,0
11.62,15605,0
11.63,15605,0
11.64,15605,0
11.65,15605,0
11.66,15605,0
11.67,15605,0
11.68,15605,0
11.69,15605,0
11.7,15605,0
11.71,15605,0
11.72,15605,0
11.73,15605,0
11.74,15605,0
11.75,15605,0
11.76,15605,0
11.77,15605,0
11.78,15605,0
11.79,15605,0
11.8,15605,0
11.81,15605,0
11.82,15605,0
11.83,15605,0
11.84,15605,0
11.85,15605,0
11.86,15605,0
11.87,15605,0
11.88,15605,0
11.89,15605,0
11.9,15605,0
11.91,15605,0
11.92,15605,0
11.93,15605,0
11.94,15605,0
11.95,15605,0
11.96,15605,0
11.97,15605,0
11.98,15605,0
